origin,label,features
apple_golden_1/0_100.jpg,apple_golden_1,"[-8.6784935   0.75648123  0.35807782 -0.31447065  2.1667597   1.739251
  0.49029136  0.14648539 -0.00994516 -0.16473691  0.4290383   0.0560428
 -0.12501235  0.19255045 -0.30581287  0.20518863  0.26104042 -0.03631312
  0.36075607 -0.16459477]"
apple_golden_1/10_100.jpg,apple_golden_1,"[-8.6843157e+00  7.6826257e-01  2.8260523e-01 -3.4903660e-01
  2.1609778e+00  1.7585831e+00  4.6854788e-01  1.9930388e-01
 -3.5068425e-03 -2.0615482e-01  4.0721148e-01  2.8144922e-02
 -1.8889052e-01  2.0363763e-01 -3.4449551e-01  1.8566389e-01
  2.1179369e-01 -4.7171801e-02  4.2043081e-01 -1.9768448e-01]"
apple_golden_1/11_100.jpg,apple_golden_1,"[-8.6786671e+00  8.0171323e-01  3.0040875e-01 -3.4860602e-01
  2.1440704e+00  1.7613680e+00  4.7544420e-01  2.0719023e-01
 -6.8527958e-03 -1.7435306e-01  4.1610286e-01  7.8861238e-03
 -1.6748147e-01  2.0372340e-01 -3.3323017e-01  1.8738374e-01
  1.8376736e-01 -6.1542109e-02  4.2877546e-01 -2.1158326e-01]"
apple_golden_1/12_100.jpg,apple_golden_1,"[-8.657397    0.80580133  0.31877047 -0.34990504  2.1536627   1.7380561
  0.46837562  0.18749894 -0.02022559 -0.14349592  0.38678098  0.01511362
 -0.17767636  0.19309676 -0.34339112  0.1962759   0.23090756 -0.03439603
  0.4276255  -0.19197123]"
apple_golden_1/13_100.jpg,apple_golden_1,"[-8.631583    0.7904801   0.33387312 -0.31604874  2.1530907   1.7364839
  0.46879643  0.19494894 -0.0103348  -0.16443926  0.39160067  0.01256179
 -0.20076884  0.21284638 -0.34631816  0.1974232   0.21596172 -0.05997274
  0.44369426 -0.17106776]"
apple_golden_1/147_100.jpg,apple_golden_1,"[-8.588166    0.8872981   0.5462814  -0.38766828  2.1830308   1.4473044
  0.48577166  0.09068168  0.01345393 -0.17484881  0.3381458  -0.06857869
 -0.17800033  0.14042449 -0.33953077  0.15477869  0.40837914  0.11718646
  0.508468   -0.06753894]"
apple_golden_1/148_100.jpg,apple_golden_1,"[-8.71532     0.92061377  0.52064073 -0.37493938  2.170059    1.4897069
  0.43715462  0.12231223  0.05266396 -0.2042393   0.42547733 -0.05327438
 -0.18996517  0.17912108 -0.33539474  0.1547296   0.47321945  0.10714741
  0.50523436 -0.04460276]"
apple_golden_1/14_100.jpg,apple_golden_1,"[-8.6647253e+00  8.1236547e-01  3.5380882e-01 -3.3621514e-01
  2.1715362e+00  1.7307173e+00  4.9761891e-01  1.9160117e-01
 -4.1522458e-02 -1.4212357e-01  3.9775455e-01  6.7813932e-03
 -1.8513332e-01  2.0294052e-01 -3.5285580e-01  1.8612903e-01
  2.2142571e-01 -4.1397963e-02  4.3582827e-01 -1.8039338e-01]"
apple_golden_1/151_100.jpg,apple_golden_1,"[-8.750201    0.93040943  0.56470764 -0.38258472  2.2134304   1.5184575
  0.46791315  0.09996036  0.02833194 -0.23740341  0.38610074 -0.03310338
 -0.14867182  0.14347355 -0.35463825  0.17102432  0.45214847  0.10476643
  0.49486125 -0.05198217]"
apple_golden_1/152_100.jpg,apple_golden_1,"[-8.743811    0.9028639   0.5216507  -0.3738956   2.1960187   1.5032167
  0.4235229   0.12011183  0.02126617 -0.2253091   0.41307938 -0.02391266
 -0.16436315  0.15912282 -0.35670087  0.18934461  0.45673355  0.13481969
  0.53427106 -0.05023926]"
apple_golden_1/153_100.jpg,apple_golden_1,"[-8.771973    0.93076426  0.5453334  -0.37488246  2.1893473   1.5496094
  0.40686157  0.11810841  0.01649152 -0.24972011  0.39343467 -0.01928983
 -0.15965499  0.1803376  -0.34111956  0.14602594  0.4156646   0.0985586
  0.5345723  -0.05127296]"
apple_golden_1/154_100.jpg,apple_golden_1,"[-8.699979    0.92858213  0.5238585  -0.39040202  2.205984    1.5434126
  0.46804285  0.11201961  0.03479666 -0.2305106   0.38521627 -0.0505712
 -0.13819157  0.14949249 -0.3789094   0.18570067  0.41449368  0.11065064
  0.53235966 -0.05653728]"
